x 	y	z
0.11	6.39	35.09
0.9	6.41	37.09
1.13	5.8	36.74
1.11	5.9	38.74
16.9	3.31	35.6
16.86	3.33	37.6
7.02	3.15	35.37
7.06	3.19	37.37
21.51   2.36    35.69
21.56   2.39    37.69
4.34	13.3	36.86
4.36	13.4	37.86
3.04	7.86	37.47
3.09	7.89	39.47
-11.33	5.76	38.07
-11.36	5.81	39.07
-17.34	7.43	39.12
-17.41	7.49	38.12
-16.94	10.81	38.22
-16.99	10.86	39.22
-5.7	14.81	39.91
-5.9	14.86	37.91
-3.32	18.9	35.82
-3.36	18.96	37.82
-0.33	15.23	35.47
-0.39	15.29	37.47
-3.81	19.34	36.66
-3.86	19.36	38.66
-2.79	22.93	36.6
-2.81	22.96	39.6
-11.57	20.69	36.71
-11.61	20.71	39.71
-17.58	24.8	35.98
-17.59	24.9	39.98
-21.27	17.8	39.06
-21.29	17.9	39.06
-19.75	9.88	38.11
-19.81	9.99	38.11
-26.69	10.51	36.45
-26.75	10.56	38.45
-29.37	2.23	37.02
-29.41	2.26	39.02
-11.95	-28.98	39.05
-11.99	-28.96	36.05
-9.78	-27.34	38.54
-9.79	-27.39	39.54
-2.16	-24.4	37.39
-2.21	-24.46	39.39
-0.01	-23.83	38.78
-0.06	-23.86	39.78
3.51	-22.23	38.26
3.56	-22.26	39.26
5.43	-20.18	37.98
5.49	-20.21	39.98
7.01	-19.58	37.56
7.09	-19.59	39.56
17.45	-15.1	37.87
17.49	-15.19	39.87
19.84	-13.75	37.55
19.89	-13.79	39.55
15.69	-9.34	39.84
15.71	-9.39	39.85
20.68	-9.78	39.39
20.69	-9.81	39.41
23.15	-8.76	39.3
23.19	-8.79	39.31
25.25	-6.7	36.93
25.29	-6.91	39.93
26.74	-5.59	36.63
26.76	-5.61	39.63
29.13	-4.57	38.35
29.16	-4.59	39.35
25.39	-15.47	39.3
25.41	-16.47	39.31
26.22	-15.32	37.83
26.26	-16.32	39.83
-14	-14.4	38.2
-14.06	-14.6	39.21
23.15	-16.81	38.31
23.19	-16.89	38.61
28.9	-6.66	38.46
28.96	-6.69	39.46
29.32	14.32	36.22
29.39	14.36	39.22
29	15.62	36.15
29.11	15.69	39.15
29.73	16.25	38.03
29.79	16.36	39.03
28.8	16.9	39.92
28.96	16.91	39.99
24.51	16.65	39.7
24.59	16.71	39.6
23.96	10.72	38.57
23.89	10.79	39.57
21.78	8.56	36.49
21.81	8.61	39.49
17.92	18.47	36.26
17.99	19.47	39.26
20.18	19.94	37.27
21.18	19.99	39.27
21.61	23.24	36.34
21.66	23.36	39.34
-1.09	22.78	39.71
-1.19	22.79	39.79
-4.21	23.68	36.59
-4.29	23.69	39.59
-8.39	24.59	36.59
-8.59	24.61	39.59
-18.25	22.16	36.87
-18.29	22.21	39.87
-17.62	21.79	36.05
-17.71	21.91	39.05
-16.62	25.13	39.97
-16.92	25.16	39.97
-19.24	28.19	39.14
-19.34	28.91	39.14
-22.84	22.17	39.1
-22.91	22.19	39.9
