x	y	z
20.18	19.94	37.27
4.34	13.30	38.50
-3.81	19.34	38.50
-11.57	20.69	38.50
-26.75	10.56	38.45
-14.00	-14.40	38.20
-11.99	-28.96	38.50
7.09	-19.59	39.56
7.01	-19.58	37.56
7.02	3.15	38.50
16.86	3.33	37.60
21.51	2.36	38.50
17.49	-15.19	39.87
3.56	-22.26	39.26
5.43	-20.18	37.98
-29.41	2.26	39.02
-17.34	7.43	39.12
-5.90	14.86	37.91
-17.62	21.79	38.50
-19.34	28.91	39.14
3.09	7.89	39.47
-2.16	-24.40	37.39
5.49	-20.21	39.98
23.15	-8.76	39.30
29.13	-4.57	38.35
25.29	-6.91	39.93
29.32	14.32	38.50
29.00	15.62	38.50
-0.06	-23.86	39.78
-9.79	-27.39	39.54
