x 	y	z
0.11	6.39	35.09
1.13	5.8	36.74
16.9	3.31	35.6
7.02	3.15	35.37
21.51   2.36    35.69
4.34	13.3	36.86
3.04	7.86	37.47
-11.33	5.76	38.07
-17.34	7.43	39.12
-16.94	10.81	38.22
-5.7	14.81	39.91
-3.32	18.9	35.82
-0.33	15.23	35.47
-3.81	19.34	36.66
-2.79	22.93	36.6
-11.57	20.69	36.71
-17.58	24.8	35.98
-21.27	17.8	39.06
-19.75	9.88	38.11
-26.69	10.51	36.45
-29.37	2.23	37.02
-11.95	-28.98	39.05
-9.78	-27.34	38.54
-2.16	-24.4	37.39
-0.01	-23.83	38.78
3.51	-22.23	38.26
5.43	-20.18	37.98
7.01	-19.58	37.56
17.45	-15.1	37.87
19.84	-13.75	37.55
15.69	-9.34	39.84
20.68	-9.78	39.39
23.15	-8.76	39.3
25.25	-6.7	36.93
26.74	-5.59	36.63
29.13	-4.57	38.35
25.39	-15.47	39.3
26.22	-15.32	37.83
-14	-14.4	38.2
23.15	-16.81	38.31
28.9	-6.66	38.46
29.32	14.32	36.22
29	15.62	36.15
29.73	16.25	38.03
28.8	16.9	39.92
24.51	16.65	39.7
23.96	10.72	38.57
21.78	8.56	36.49
17.92	18.47	36.26
20.18	19.94	37.27
21.61	23.24	36.34
-1.09	22.78	39.71
-4.21	23.68	36.59
-8.39	24.59	36.59
-18.25	22.16	36.87
-17.62	21.79	36.05
-16.62	25.13	39.97
-19.24	28.19	39.14
-22.84	22.17	39.1
