x,y,z
-3.71,-3.56,2.17
-0.01,-0.57,0.91
1.01,2.86,3.29
-4.71,3.95,2.55
-3.52,2.59,2.43
4.28,-4.65,4.33
-4.30,-1.41,1.12
-3.70,-3.37,3.28
4.48,4.99,2.36
1.22,-3.56,2.88
-1.31,-2.56,2.75
0.11,-1.43,1.10
1.63,-4.39,2.80
-2.25,3.70,4.38
-3.62,1.36,1.27
2.88,-3.40,0.55
1.70,-0.02,0.80
0.12,-4.21,2.57
3.17,1.11,4.89
0.49,-2.68,0.70
4.81,-4.61,4.96
-2.95,-3.85,2.91
0.54,0.55,1.04
-0.16,1.37,2.38
-1.47,-1.75,1.43
0.92,1.43,3.71
-2.65,-1.48,2.94
3.02,-3.69,1.80
3.67,-1.85,1.65
-3.71,-1.05,4.40
-0.33,4.13,3.95
-2.23,-3.84,2.46
-4.17,-4.14,2.32
3.96,0.62,3.82
-0.70,4.63,4.87
-3.52,4.07,0.86
1.73,2.00,1.22
-2.98,-4.33,2.13
4.01,3.06,2.78
-2.83,1.83,0.82
-4.67,-3.56,0.74
-2.99,-0.35,1.49
-1.54,-4.51,2.24
-0.31,3.02,3.83
4.06,2.19,3.24
1.97,3.05,0.63
-1.61,2.60,0.70
-4.83,-2.33,2.53
-3.40,2.90,4.44
4.96,-2.51,4.62
-0.40,-3.62,2.14
1.91,-1.10,4.49
-4.45,-0.02,4.68
-4.66,-2.14,2.33
3.46,1.06,3.86
0.88,1.03,2.14
-1.91,-2.60,1.19
-1.83,1.23,3.09
-4.11,-1.43,0.89
-3.27,2.35,3.49
-4.75,-2.10,4.14
3.39,2.99,4.62
-0.34,-0.85,2.52
-3.73,0.53,1.03
2.39,1.73,4.56
-3.04,0.18,4.42
-4.38,-2.42,4.85
0.98,4.79,3.17
3.96,-4.04,3.53
-4.73,-1.75,2.18
3.05,0.49,1.32
-3.10,-4.71,1.81
-4.07,-3.45,3.74
-4.82,2.99,1.96
-2.07,2.84,3.61
2.27,1.37,2.76
-0.07,4.02,2.52
3.53,2.56,4.85
-2.83,-2.01,1.25
-1.85,1.45,2.69
-2.42,-1.60,1.22
4.78,2.50,4.72
4.41,-1.15,2.70
-1.59,-3.47,1.99
-0.64,3.76,1.26
-1.86,1.90,3.17
2.47,2.45,2.30
-4.60,0.60,1.07
-4.33,2.83,0.65
-0.96,-0.52,2.26
-2.55,0.66,3.12
3.45,-4.37,2.83
2.42,0.55,4.55
0.46,3.15,4.60
1.61,2.06,4.71
1.92,3.03,4.10
2.81,-0.04,2.65
4.28,3.81,2.86
-3.50,-3.92,2.29
1.26,3.76,2.30
