x,y,z
-74.29,-71.28,43.41
-0.14,-11.37,18.19
20.30,57.26,65.74
-94.26,78.94,50.94
-70.41,51.85,48.55
85.64,-92.92,86.68
-85.92,-28.12,22.40
-74.05,-67.39,65.52
89.67,99.76,47.24
24.38,-71.20,57.54
-26.20,-51.14,54.95
2.28,-28.56,22.07
32.57,-87.82,56.08
-44.94,74.08,87.59
-72.41,27.27,25.41
57.61,-68.05,11.03
34.07,-0.35,16.08
2.48,-84.27,51.38
63.35,22.20,97.70
9.82,-53.67,13.98
96.18,-92.27,99.18
-59.10,-76.95,58.24
10.75,11.05,20.81
-3.28,27.40,47.67
-29.35,-35.04,28.66
18.32,28.69,74.27
-52.94,-29.59,58.74
60.44,-73.87,35.92
73.47,-36.96,32.99
-74.25,-20.95,88.03
-6.59,82.53,78.96
-44.57,-76.87,49.26
-83.38,-82.77,46.50
79.19,12.30,76.37
-14.01,92.68,97.37
-70.46,81.45,17.16
34.67,40.05,24.32
-59.56,-86.65,42.61
80.29,61.28,55.69
-56.57,36.67,16.43
-93.39,-71.21,14.81
-59.85,-7.01,29.75
-30.85,-90.14,44.74
-6.22,60.38,76.54
81.23,43.73,64.89
39.47,60.93,12.63
-32.14,52.08,14.05
-96.62,-46.55,50.68
-68.04,57.95,88.74
99.29,-50.17,92.35
-8.06,-72.42,42.86
38.21,-21.92,89.86
-89.07,-0.43,93.62
-93.19,-42.84,46.60
69.18,21.16,77.15
17.58,20.50,42.88
-38.26,-52.04,23.82
-36.52,24.51,61.77
-82.15,-28.55,17.78
-65.47,46.94,69.70
-95.08,-41.92,82.83
67.82,59.76,92.39
-6.74,-16.98,50.32
-74.56,10.65,20.56
47.85,34.67,91.22
-60.87,3.68,88.33
-87.62,-48.48,97.08
19.68,95.88,63.46
79.15,-80.79,70.61
-94.61,-35.02,43.60
61.03,9.82,26.48
-61.97,-94.26,36.25
-81.42,-69.02,74.86
-96.41,59.85,39.25
-41.40,56.76,72.24
45.42,27.39,55.19
-1.36,80.36,50.41
70.58,51.10,97.09
-56.56,-40.24,24.95
-36.96,28.97,53.84
-48.37,-31.98,24.37
95.66,49.97,94.37
88.20,-23.04,53.98
-31.86,-69.35,39.88
-12.80,75.29,25.15
-37.14,38.08,63.47
49.30,48.94,45.91
-92.00,11.92,21.45
-86.51,56.59,12.91
-19.19,-10.43,45.22
-50.98,13.16,62.49
69.04,-87.49,56.69
48.36,11.01,91.00
9.16,62.92,92.05
32.30,41.11,94.27
38.46,60.63,81.97
56.21,-0.78,52.99
85.50,76.27,57.14
-70.05,-78.34,45.76
25.23,75.14,45.96
