       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
-----------------------------------------------------------------------------------------------------------------------
         1             110.569             211.202               383.048                383.048                   2.303
         2             110.569             212.607               383.048                383.048                   2.289
         3             110.569             211.702               383.048                383.048                   2.295
         4             110.569             212.107               383.048                383.048                   2.308
         5             110.569             211.502               383.048                383.048                   2.297
         6             110.569             212.607               383.048                383.048                   2.291
         7             110.569             211.202               383.048                383.048                   2.310
         8             110.569             212.307               383.048                383.048                   2.286
         9             110.569             211.702               383.048                383.048                   2.303
        10             110.569             212.107               383.048                383.048                   2.293

      mean             110.569             211.904               383.048                383.048                   2.298
       std               0.000               0.496                 0.000                  0.000                   0.008

