       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1             134.476             187.893               718.029                718.029                   1.360
         2             111.351             223.702               694.212                694.212                   2.608
         3             104.165             155.033               691.802                691.802                   2.115
         4             114.732             182.153               704.163                704.163                   2.129
         5              99.395             212.155               661.369                661.369                   0.917
         6             117.503             239.257               746.804                746.804                   2.051
         7             100.597             149.258               707.773                707.773                   0.927
         8             103.471             157.868               721.269                721.269                   2.072
         9             113.945             240.315               729.231                729.231                   2.107
        10              99.574             146.514               674.765                674.765                   0.908

      mean             109.921             189.415               704.942                704.942                   1.719
       std              10.399              35.289                24.261                 24.261                   0.596
