       Run  planned_makespan_s  mission_makespan_s  planned_total_dist_m  executed_total_dist_m  overall_min_pairwise_m
----------  ------------------  ------------------  --------------------  ---------------------  ----------------------
         1              93.041             185.171               435.012                435.012                 2.864
         2              93.424             188.283               435.957                435.957                 1.597
         3              93.424             187.983               435.957                435.957                 1.609
         4              93.424             188.186               435.957                435.957                 1.603
         5              93.424             188.187               435.957                435.957                 1.606
         6              91.342             182.080               433.234                433.234                 1.612
         7              86.675             181.683               437.398                437.398                 2.859
         8              89.269             182.586               430.644                430.644                 1.596
         9              93.041             185.081               435.012                435.012                 2.819
        10              93.041             186.679               435.012                435.012                 2.774

      mean              92.011             185.592               435.014                435.014                 2.094
       std               2.182               2.543                 1.775                  1.775                 0.633
